Sentence,Sentences,Tag
11,AASHIRVAAD Qo AA MONEY'SAVER PACK A Enduring Value SUPERIOR MPAT TA 0 % MAIDA IOO% ATTA AASHIRVAAD 100 % PURE & NATURAL whole Wheat KB / S MONEY ' SAVER PACK FLIP PACK RECIPES HSV9Y S AINOW 25 ,B-BRAND O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O 
12,SUPREME HARVEST URAD WHOLE PULSES 1 kg Best VALUE 204 KB / S Ssai Te No : 112229990o0173 25 ,B-BRAND O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O 
13,INDIA GATE BASMATI RICE fcast ROzzana 65.0 KB / S KRBL 2pcs ( 5 kg ) 25 ,B-BRAND I-BRAND B-PRODUCT I-PRODUCT O O O O O O O O O O O O O 
14,"Fortune fortune fortunefoods.com new , pack biryani special basmati rice 146 KB / S AUM G extra long groin Not Weight 5 ko at 25 ",B-BRAND O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O 
15,"8 G ... Cut along here . YEAR : Aoed to Perfection 5 kg net weight , INDA GATE BASMATI RICE CLASSIC CBasmati Beyond Compar NO1 KRD vaAC ) 13.0 e l KB / S 25 ",O O O O O O O O O O O O O O O O O B-BRAND I-BRAND B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O 
16,"Fold Owinner Befined SuAouer Oe VITAD Cnteies Omega 6 iternia E Pturs Doet ow e Conartof the Pad 70,0 l KB / S 25 ",O O O O O B-BRAND O O O O O O O O O O O O O O O O O O 
17,Amal ( Amul SPOON Vnced DAY Pure Ghee 105 KB / S Amul Gheeismadz granue de 25 ,B-BRAND O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O 
18,COW CHEE TM ( Heritage ) HEALTH AND MAPPINESs 62.0 KB / S ( 30 ) SRITA COW GHEE 25 ,B-PRODUCT I-PRODUCT O O B-BRAND O O O O O O O O O O O O O O O 
19,Farmley PANCHMEVA STING BLACK RAISINS | GREEN RAISINS ALMONDS | CASHEWS| DICED DATES A CURATED MIX OF HEALTH & TASTE 15 % PROTEIN CONTENT 85.0 Ye25 KB / S ,B-BRAND O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O 
20,Maggi SEASONING TRULY GOOD Aromatic Roasted Spices AUTHENTIcITY ODINE . IRONVITAMIN A Masala 7.00 Ye l 25 KB / S 2Pcs 1ofGuidelni ( 72 g ) lfa serve ^is2 g. ( cooke Fineiictions Sun DAnurts ef an m0o kcal Find out more ,B-BRAND B-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT O B-BRAND I-BRAND O O O O O O O 
21,"DAILY GO0DNESS , BAKED PERFECT . RBakera Den CHOCOLATE ALMOND CAKE 93.0 Ye25 ) HANDMADE WITH KB / S DUTCH COCOA AND ALMOND FLAKES & INCREDIBLY(MOISD LIGHT , & DELICIOUS ! 4 * HONEST DOUCH% ZERO TRANS FAT CRBONuS2 LONE ",B-BRAND I-BRAND O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O 
22,Contains Eg : KE GDogaL1Sics BRITANNIA Goboles fruity fun 6.00 Ye 25 ) KB / S ,O O O O O B-PRODUCT O O O O O O O O O O 
23,LOTTE with Rich Marshmallow Premium Quality Lotte Choco Pie ORIGINAL 100 % VEGETARIAN Together Forever Season 's Greetings INDIA 'S 18.0 Ne 25 KB / S No . I CHOCO PIE X18 ,B-BRAND O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O 
24,BRITANNIA Little Nearts Aaoo.5 icts BISCUITS ZERO Trans Fat 14.0 Ye 24 KB / S ASSIC CRUNC TEAR HERE ,B-BRAND B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O 
25,"6 Tea 16 % OFF Red Label Tea 1 kg 7504 6O9 ( ZIP LOCK Description BroÃ¶ke Bond Red ubel 33.0 Ye 24 KB / S CUT ALONGTIIS ADD Experience the taste of togetherness with Brooke Bond Red Label Tea , the perfect brew for every tea lover . â€¢ Premium CTC Tea Leaves Processed at ",O O O O O B-BRAND I-BRAND B-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O B-BRAND I-BRAND I-BRAND I-BRAND B-PRODUCT O O O O O O O O O O O O O O O O 
26,NESCAFE GOLD BLEND Rich & Smooth 15Y l 24 KB / S NORIDIENTS ,B-BRAND O O O O O O O O O O O O 
27,"Colgate Cduate Colgate syclable VISIBLE , WHITE oXYGENATED WHITENING WARMS "" . AND WHITENS TEETH IN 3 DAYS AROMATIC MINT 50 62.0 Xe l 24 KB / S Colgate VISIBLE WHITE OXYG ENATED WHITENING WARMS , AND WHITENS TEETH IN 3 DAYS AROMATIC MINT ",B-BRAND O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O B-BRAND O O O O B-PRODUCT I-PRODUCT O O O O O O O O O 
28,"whispCI z2Z TO NEW % OLEAKs , ALL NIGHT LONG * whiÅŸper bindazzZnights 94.0 Ye 24 KB / S Ro1 M , NEARLY 40 % XL+| 15 longer 317 mm PADS & wider at back ",O O O O O O O O O O O B-BRAND O O O O O O O O O O O O O O O O O O B-PRODUCT O O O O 
29,"14 Units Stytree StÃ£ytree 106Ye 24 KB / S Dry - Max All Night All Nights Ultra - Dry Stayfree 2x BETTER cOVERAGE * ALL ROUND THROUGH THE NIGHT "" XXL Nearly 40 % Longer ",O O O B-BRAND O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
30,"NAN ECELLApre Nestle EXCELLApro NAN Follow - up Formula Powder DHA ARA 121 Ye l 24 KB / S Vitamins Calcium , A , C&D Zinc & Iron NAN NÃ¢N 3 Stage After 12 months Up to 24 months IMPORTANT NOTICE : MOTHER 'S MILK IS BEST FOR YOUR BABY . NÄ€N Jssal ",O O B-BRAND O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
31,( NUTRICIA 40 YEARS OF RESEARCH INSPIRED BY EARLY UIFE NUTRITION & BABY 'S NUTRITIONAL NEEDS GOLD Aptamil HMO ( 2'-FLJ PREBIOTICS DHA & ARA VITAMINS & IRON INFANT FORMULA WITH PREBIOTIC FIBRES*% & HMO ( 2'-FL ) Aptamil â€¢HMO [ 2 - FL ] IS NOT DERIVED FROM HUMAN MILK IMPORTANT NOTICE : MOTHERS MILKIS BEST FOR YOUR BABY . 76.0 Ye l 24 KB / S New with HMO ( 2 - FLJP 1 FROM BIRTH ,O B-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
32,"LACTOGEN 4 NestlÄ“ Follow - Up Formula - powder ACTOGEN PRO 120 Ye l 24 4 KB / S Whey Protein Iron Vitamin A , C&D After 18 months Upto 24 months IMPORTANT NOTICE : MOTHER 'S MILK IS BEST FOR YOUR BABY . & sai ",O O B-BRAND O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
33,REMOVES1 Wash Tough Stains in TOP LOAD 3.2L MEGA PACK 3.2 L = 3.2 kg ARIEL TOP LOAD MATIC LIQUID DETERGENT 7.00 Ye l 24 of Powder KB / S ,B-BRAND O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O 
34,Detergent Baby Laundry Detergent Kemove LuvLap 100 % Biodegradable Anti Bacterial Concentrated Formula Free from Phosphate & Fluorescence 23.0 Ye 24 Net Volume : 1L KB / S ,B-PRODUCT O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O 
35,"Buy 1 Get 1 FREE "" wipro ) Safe washn Liquid Detergent Colour Protection GuÃ¼Expert for 75 + washesA 80,0 Ye l 24 KB / S DUAL ACTION DETERGENT D0SACE ",O O O O O O B-BRAND O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O 
36,AIR WICk 24/7 with OdÃ¸r Stop â„¢ Technology FRESH MATIC AUTOSPRAY Lavender & Lotus 89.0 Ye l 24 KB / S UP TO 70 DAYS * 7ODAYS 247 000us Lavendor & Let ,B-BRAND I-BRAND O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O 
37,"Air Freshener Light & fresh Lavender Odour Neutralizer 50 g Air Freshen 10.0 Ne l 24 KB / S home truths   A Enduring Value 101 DALMATIANs cDisney Customize your notebook covers at www.classmateshop.com 108Ye l 24 Classm KB / S clAsSMAte 2018 notebook brand is nowa Sur erbrand "" Survey conducted by lMRB in July 2018 . ",B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT O O B-BRAND O O O O O O O O O O O O O O O O O O O O O O O O 
38,edu GAMES inside LEARN WHILE YoU PLAY 14.0Ye l 24 KB / S clAssMAte EQUESTBJAN ,O O O O O O O O O O O O O B-BRAND O 
39,Enduring Valu 91.9Ye l 24 SP KB / S clAsSMAte CHHOTA ,O O O O O O O O O B-BRAND O 
40,"3249053 Dettol BE 100 % SURE RICOMME NOED BY iNDIAN MEDICAL ASSOCATION ORIGINAL GERM DEFENCE LIQUID HANDWASH PROTECTS FROM 99.99 % NEW & IMPROVED FORMULA "" ILLNESS CAUSING GERMS * OISTUA SOF1 WANDS ",O B-BRAND O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O 
41,"Gmston Bata ish INDOOR AQUA & PLANTS 6 Fighter fish can survive upto 4 days without food Instructions : - Feed.2 Pellets /day Change water 7 to 10 day 's 9031 1123 Amston , No . 73 , Sy . No . 6 , Bandapura Village , Bangalore-560 049 , Phone:9353899395 ",B-BRAND I-BRAND O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
42,Peppermint ce 70X Langer lasting COoling Colgate Blue Gel Anticavity Toothpaste with COOLING CRYSTALS Maxfresh NEW ,B-PRODUCT O O O O O B-BRAND O O O O O O O O O 
43,EVETEX Pallavi KUMKUM MAROON ,O O O O 
44,"REMOVES 99.9 % GERMS FROM THE WHOLE MOUTH MOUTHWASH LISTERINE 309120 ORIGINAL 250 ml TO HELP PREVENT GUM PROBLEMS , BAD BREATH AND PLAQUE 308633 ",O O O O O O O O B-PRODUCT B-BRAND O O O O O O O O O O O O O O O 
45,Permethin Cream Perlice ' CRÃˆME RINSE CURATIO ,B-BRAND B-PRODUCT I-PRODUCT O O O O 
46,"MRP inclusive o of all taxes provmsdds BNo . Md 239.23 36 L1 4 03/23 0 2/ 25 Manutactured by : Encube Ethicals Pot No . C1 , Madkaim Ind. Estate , Madkaim Post Mardol , Ponda , Goa - 403 404 , nda Marketed by : CURATIO Curatio Health Care ( ) Private Limited Mamatha Complex , 4th Floor , No . 25/13 , Whites Road . , Royapettah , Chennai- 600 014 , India . Avoid contact with eyes . Never use Perlice ' g crÃªme rinse on eyelÃ¡shes or eyebrows Store at a temperature not exceeding 25C Do not freeze Pt L Keep out of reach of children . Shake well before use FOR EXTERNAL USE ONLY wite to . Customercaret Ocuratioheathcara a queries , please call : +91 96770 4868 Mig . Lic . No . 361 Â® Hegistered Tade kh ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
47,AXE GOLD TEMPTATION EXOTIC SPICED FRAGRANCE BODYSPRAY DEODORANT 48H DUAL ACTION TECHNOLOGY   DEN VER Morning Fresh POV WER RLast TochnologY ,B-BRAND O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O 
48,"Derver ngineered willh OIRECTION : Shake can well betors WARNING : ContenS Under yo ANROSe lO Sn or heat abOve 50 Â° C CIerate Container even wherneMpy atth ve or incandescent b0dy Keep aNay ro HO inhale . Do not use in any way he product is intended . hlorofluorocarbons ) . Avoid contacty NGREDIENTS : Propellant ( Butane , Prop ACohol Denatured , Fragrance , DM Wats Giycol , Diethyl phthalate , Tri tEthyi Citrate . Alcohol w / w , Ethyl Alcoh with 1 % W / w Diethyl Phthalate . FOR FEEDBACK OR C the body . and spray . or children under 3 years . Flammable , EOR SUGGESTIONS . Content 36 % MRP . MKtd By : VANESA CARE PVT . LTD.18 , G5 New Delhi-1 110005 Customer Care No . r E - mail : ccare@vanesa.co.in , Web .. ww.are MMd By : ( A ) VANESA COSMETICS 196/18 Johron , Trilokpur road , Kala Amb , Dist ML No . HIM / COS/06/93 . St Exc . Lic . No . : SIM / M&TP / L-1/07/2008 - 09 B ) VANESA COSMETICS PVT . LTD . , Baroit Area , Distt . Sonepat , Haryana- 131 104 ML No . 251 COS(H ) , St. Exc . Lic . No . : L42 Net Contents : MFD . ( tragra OLOF ALL TAXES ) BATCH NO . USE BEFORE Vanesa 165 ml/106 g RS . 220 . 00 03/2021 .. E - DiF $ 220 02/2024 ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
49,"WORLD 'S NO.1 HAIR OIL NEW PACK Dabur Aula STRONG LONGER sTHICKER Hai Store away fam snlight Based on independent agency report . For detai Visit daburamla.com Dabur Amla Hair OiI Stronger , Longer , Thicker Halr 8ll901 207l0 19029|| Net Vol .. For nane and addresSs of mig . unit , read tihe lirst huo ctaracta of batch code & see below : BM ) Dabur India Limited , Village Manakpur , Tehsil Baddi , DÃ­stt . Solan , HP - 174101 , M - HIM / COS/ 09/140 . BT ) Dabur India Limited , I.G.C. , Balipara , P.0.-Ghoramari , Distt . Sonitpur -784105 , Assam , M - C-42M/2017 . Regd . Office & Consumer Cell : 83 , Asaf Ali Road , New DelhÃ­- 110002 , E - mail : daburcares@dabur.com , Toll Free : 1800 - 103 - 1644 . INGREDIENTS : Mineral Oil 49.8 % , Vegetable Oiis including Amla extract 473 % , Sugandhit dravya , Antioxidant - TBHO , C.L-12740 , C.l.-61565 & GI-26100 12231707o 450 ml See below MRP Rs , ( incl .. of all taxes ) . Batch No . Mfd . & Use before Rs 199 00 BTO1036 10/20 10/23 Bottle RD No.252839 ",O O O B-PRODUCT I-PRODUCT O O B-BRAND O O O O O O O O O O O O O O O O O O B-BRAND O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
50,Paracute ADVANSEDM COcONUT HAIR olL With 100 % pure COconut ot for long & strong hai ,B-BRAND O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O 
51,NET OTY Vetale M Code FHHO05 MED DEEP FOR LOHGB W STRONG C KHAIR US BEFORE : BATCH NO . 190 ml nct ot all taxes ) SEE ABOVE ,O O B-BRAND O O O O O O O O O O O O O O O O O O O O O O O O O O 
52,"Oghngis "" buds ' provmsdds 7IPS Gentle cleansing around the earS ",O O O O O O O O O O O 
53,"sppsuOJt Masala India 's Magic URE GHIP . 25 % , 20 ",O B-PRODUCT O O O O O O O O O O 
54,GLIITE FREE 500 100a CAB AIDE MOVIE provmsdds o00 SERVIC OROCERY CORNITOS Nacho Grisps CHEESE AND HERBS SOME THINGS APE MADE FOR EACHY UKE THE UNIQUE COMBINA CHEDDAR CHEESE & COOLITALIA DIE - HARD CHEESE LOVER OR SIMPLY YOU'L FAVLIN LOVE FOA ,O O O O O O O O O O O B-BRAND B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
55,TTA Atta Noodi : Break the ( apptox . 1 cup ) of â€¢TASTEMAKERO T0 225 Add Noodles tnd Maa Lald Lar 1 driain rete 0CcaSIo PREPARATION instant Noodles average adulr { 2000 72.5 g % of Guidetine Daily Amounts of a ber neodtes VEG ATTA sala 121 serve is 23 kcall 8.0 9 SO a source of unte NASQ CES & he Belicious Ifa 1.59 584.2 K Magg Nuti - licious Suggested arnishing ,B-BRAND O B-BRAND O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
56,sppsuaoJd 100%CoFFEE PURE CLASSIC NESCAFE . POWDER SOLJBLE COFFEE Adn ,O B-PRODUCT O O B-BRAND O O O O O 
57,Dabu Chyawanash 3x MIMUNITY ICTION tUNICALI TESTEL ,B-BRAND B-PRODUCT O O O O O 
58,A TATA Produc FARSJA Crisp & Chatpata Aloo Bhujia Tuded Fried Indian Snack ,O B-BRAND O O O O O B-PRODUCT I-PRODUCT O O O O 
59,"48 de , Arwter Dred Tomatoes per Sere Solt Acitty Regulator Flavouing 14.99 0.00 32.99 31.34 Powder Re 0.00 30.00 don the basis e adult per day . ivate Limited , Plot Rajasthan- 342304 Buiding , 2- floot , STORE IN AN diligently processed Seasoned wth a zesty mix of traditional spices which is the Fabsta , a brand from the Tata Group , comes with a promise lantalize you taste buds with this crispy and i iesistibly tasty unforgettable culinary experience that brings families togethe of happiness . Fabsta Aloo Bhuia is made from diligenty FOR CUSTOMER FEEDBACK CO MPLANT . WRITE TO MANAGER CONSUMER VAREA & MARKETED BY ADDRESS OR CALL US AT 09029002233 OR EMAIL US AT STARHELP@TRENT - TATA.COM NET QUANTITY : MRP ( inclusive of all taxes ) UNIT SALE PRICER Aloo Bhujia BATCH NO . : Crisp & Chatpata PACKED ON : USE BY : TRY OUR MOONG DAL BHUJIA SEV 350 g i407/224 A VATA Foduct FAESTA Moong Dal o Sis AW 2847 26252 . Vats ",O O O O O B-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O 
60,gsk EAXERPACKO FASTRELIEFFROMACIDTY ENO HSRNsECONDS LEMON FLAVOUR Fruit Salt 6 SACHETS ,O O O O O O O O O O O 
61,PHENI FINE INDIAN CONFECTIONS RLSVL TVAO N ANAND TASTE ,B-PRODUCT O O O O O O O O 
62,serving suggestion BAKING SODA No added Preservative or Colour Goodness Inside provmsdds Dessert Net wt : 100 g ,O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O 
63,onigina PREMIUM INSTANT COFFEE ,B-BRAND O O B-PRODUCT 
64,"PANTENE HAIR SCIENCE PROV SILKY SMOOTH INTENSELY HYDRATES FOR SMOOTH , FRIZZ TAMED HAIR * WITH PRO - V + VITAMINE SHAMPOO 21005197 ",B-BRAND O O O O O O O O O O O O O O O O O O O O B-PRODUCT O 
65,"CLOROX Disinfecting Wipes Kills 99.9 % of Viruses & Bacteria Fresh Scent Safe on Finished VWood , Sealed Granite and Stainless Steel ",B-BRAND B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O 
66,LA SHIELD EXPERT URBAN PROTECT MINERAL SUNSCREEN GEL POLLUTION PROTECT SPF 50 PA+++ UVA - UVB UV and Pollution defense Lightweight and oil - free Moisture boost formula Dermatologically Tested Suitable For All Skin Types ,B-BRAND I-BRAND I-BRAND I-BRAND O O B-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
67,Surf excel EASY WASH Removes Tough Stains Easily ,B-BRAND I-BRAND O O O O O O 
68,B ROYAL TM Organic eat healthy Certified by :   AASHIRVAAD MADE FROM NATURAL IODIZED SALT SEA SALT CRYSTALS . For normal lgrowth and brain function ,B-BRAND I-BRAND O O O O O O O O B-PRODUCT O O O O O O O O O O O O O O O 
69,"ORGANC NUTS Â© A CALIFORNIA , ALMOND DELICIOUS SOURCE OF DIETARY FIBRE GROSS CONTENT 500 GRAMS ",O O O O O O B-BRAND O O O O O O O O O 
70,7ZIP LOCK > Brooke Bond ( Red Cabel ,O O O B-BRAND I-BRAND O O O 
71,Farmley NO ADULTERATION ALL NATURAL PREMIUM WALNUTS GOURMET ~BROKEN ~ NUTRITIOUS & CRUNCHIER VACUUM PACKED HIGH IN OMEGA3 100 % NATURAL Net Wt . 2009 ,O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O 
72,RAISINS Vedaka ,B-PRODUCT O 
73,"Colgate MEGA Maxfresh wHCOOLING CRYSTALS NEW 10X LONGER LASTING cooLING "" PEPPERMINT ICE SAVER 300 g 2x 150 g ",B-BRAND O O O O O O O O O O O O O O O O O O 
74,Fiona Refined Sunflower oil UPTO VITO 50 . PROTECT HIGHER VITAMINS TRANSFER TO YOUR FOOD ,B-BRAND I-BRAND B-PRODUCT I-PRODUCT O O O O O O O O O O O 
75,Active Wheel 2in1 Clean & Fresh ,O O O O O O 
76,"WORLD 'S NO . Honey Grade Special Dabur Honey 100 % PURITY GUARANTEED As per global syndicate study report of Honey category 2021 - 2022 by a Market Research agency , Dabur Honey is the highest seling brand by volume in the world . ",O O O O O O O B-BRAND B-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
77,2 PADS Saveâ‚¹2 Scotch Brite Silver Sparks Superior Cleaning Power ,O O O B-BRAND I-BRAND I-BRAND I-BRAND O B-PRODUCT I-PRODUCT 
78,KIRKLAND CALCIUM 600 mg With Vitamir D3 For Strong Bones and Teetht Vitamin D Assists in the Absorption of Calcium 500 TABLETS Dietary Supplement ,B-BRAND O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT 
79,EVEREST Chhole Masala Mxed Masala Powder ,B-BRAND O B-BRAND I-BRAND I-BRAND I-BRAND 
80,"BLUE BIRD The taste that lingers Baking , Soda Serving Suggestion Net WL l00 g ALL PURPOSE eET RAISING BAKING ITEMS STEAMED DISNES FRIED SNACKS 100%Veg . ",B-BRAND I-BRAND O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O 
81,Dabur Chyawanprash DOUBLE Immunity ' Clinically Tested HELP AWALEHA ,B-BRAND B-PRODUCT O O O O O O O 
82,SANDERS SMALL BATCH WONDERS DARK CHOCOLATE Enlarged to o testure and SEA SALT CARAMELS NET WT . 36 0Z ( 1.02KG ) ,B-BRAND O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O 
83,Amul malai Paneer PANEER PROTEIN Amul ,B-BRAND O B-PRODUCT O O O 
